
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	11	36	159
1	10	36	159
2	10	36	159
3	11	36	159
4	10	36	159
5	11	36	159
6	10	36	159
7	11	36	159
8	10	36	159
9	10	36	159
10	10	36	159
11	11	36	159
12	11	37	160
13	10	36	159
14	10	36	159
15	10	34	159
16	11	36	160
17	10	36	159
18	11	37	160
19	11	35	160
20	10	36	159
21	10	36	159
22	11	36	159
23	11	37	160
24	11	35	160
25	11	35	160
26	10	36	159
27	11	36	159
28	11	36	159
29	11	36	160
30	11	36	160
31	11	36	159
32	10	36	159
33	10	36	159
34	10	36	159
35	11	36	159
36	10	36	159
37	10	36	159
38	10	36	159
39	10	36	159
40	11	37	160
41	10	36	159
42	10	36	159
43	10	34	159
44	11	37	160
45	10	34	159
46	11	37	160
47	10	36	159
48	10	36	159
49	11	35	160
50	10	36	159
51	11	36	160
52	10	36	159
53	10	34	159
54	10	36	159
55	11	36	159
56	11	36	159
57	11	36	160
58	10	36	159
59	10	36	159
60	11	37	160
61	10	36	159
62	11	36	159
63	11	37	160
64	10	36	159
65	10	36	159
66	10	36	159
67	11	36	159
68	11	37	160
69	10	36	159
70	11	37	160
71	10	36	159
72	10	36	159
73	10	36	159
74	10	36	159
75	10	36	159
76	11	36	160
77	11	36	159
78	11	37	160
79	10	36	159
80	10	36	159
81	10	36	159
82	10	36	159
83	11	36	160
84	10	36	159
85	11	37	160
86	10	36	159
87	11	36	160
88	12	36	161
89	11	37	160
90	10	36	159
91	11	36	159
92	11	36	160
93	10	36	159
94	10	36	159
95	11	36	159
96	10	36	159
97	11	36	159
98	10	36	159
99	11	36	160
100	11	36	160
101	11	36	159
102	10	36	159
103	10	36	159
104	11	37	160
105	10	36	159
106	10	36	159
107	10	36	159
108	10	36	159
109	11	36	160
110	10	36	159
111	11	36	159
112	11	36	159
113	11	36	160
114	10	36	159
115	11	36	160
116	11	36	159
117	10	36	159
118	10	36	159
119	10	36	159
120	10	36	159
121	10	36	159
122	11	37	160
123	11	36	160
124	11	37	160
125	10	36	159
126	10	36	159
127	10	36	159
128	11	36	159
129	10	36	159
130	10	36	159
131	11	37	160
132	10	36	159
133	10	36	159
134	10	36	159
135	10	36	159
136	11	36	159
137	10	36	159
138	11	36	159
139	10	36	159
140	11	36	160
141	10	36	159
142	10	36	159
143	11	36	160
144	10	36	159
145	11	36	159
146	11	36	159
147	10	36	159
148	11	36	159
149	10	36	159
150	11	37	160
151	11	36	159
152	11	36	159
153	10	36	159
154	10	36	159
155	10	36	159
156	11	36	159
157	11	36	159
158	10	36	159
159	10	36	159
160	11	36	159
161	10	36	159
162	10	36	159
163	11	36	159
164	10	36	159
165	11	36	159
166	10	36	159
167	11	37	160
168	11	37	160
169	11	36	160
170	11	36	160
171	10	36	159
172	11	36	159
173	11	36	160
174	10	36	159
175	11	36	159
176	11	36	160
177	10	36	159
178	10	36	159
179	11	37	160
180	10	34	159
181	11	36	160
182	11	36	160
183	11	36	160
184	10	36	159
185	10	36	159
186	10	36	159
187	10	36	159
188	10	36	159
189	11	36	159
190	11	36	159
191	11	36	159
192	11	36	160
193	10	36	159
194	10	36	159
195	11	36	159
196	10	36	159
197	10	36	159
198	11	36	159
199	10	36	159
200	11	37	160
201	10	36	159
202	11	35	160
203	11	36	159
204	11	36	159
205	11	36	160
206	11	36	160
207	10	36	159
208	10	36	159
209	10	36	159
210	11	37	160
211	11	37	160
212	11	37	160
213	11	36	159
214	10	36	159
215	10	36	159
216	10	36	159
217	11	37	160
218	11	37	160
219	10	36	159
220	10	36	159
221	10	36	159
222	10	36	159
223	10	36	159
224	11	36	159
225	10	36	159
226	10	36	159
227	11	37	160
228	11	36	159
229	10	36	159
230	10	36	159
231	10	36	159
232	13	36	161
233	10	36	159
234	11	37	160
235	11	36	160
236	10	36	159
237	10	36	159
238	10	36	159
239	11	36	159
240	10	36	159
241	10	36	159
242	11	36	159
243	11	37	160
244	11	34	159
245	11	36	159
246	11	36	160
247	11	36	159
248	10	36	159
249	11	36	160
250	11	37	160
251	11	37	160
252	11	36	159
253	10	36	159
254	11	36	160
255	10	36	159
256	10	36	159
257	11	36	159
258	11	37	160
259	11	36	159
260	11	35	160
261	11	36	159
262	11	36	159
263	11	36	159
264	11	36	159
265	11	36	161
266	10	36	159
267	10	36	159
268	10	36	159
269	10	36	159
270	10	36	159
271	10	36	161
272	10	36	159
273	11	36	159
274	10	36	159
275	10	36	159
276	11	36	159
277	11	37	160
278	10	36	159
279	11	36	159
280	10	36	159
281	11	36	160
282	10	36	159
283	11	36	159
284	11	36	159
285	11	36	160
286	10	36	159
287	11	36	159
288	10	36	159
289	10	36	159
290	10	36	159
291	11	36	160
292	10	36	159
293	11	36	160
294	11	36	159
295	11	36	160
296	11	36	160
297	11	36	160
298	11	36	160
299	10	36	159
300	10	36	159
301	11	36	159
302	10	36	159
303	11	37	160
304	10	36	159
305	11	36	159
306	10	36	159
307	10	36	159
308	10	36	159
309	11	36	160
310	11	37	160
311	11	36	159
312	10	36	159
313	10	36	159
314	11	37	160
315	10	36	159
316	10	36	159
317	11	36	159
318	11	36	159
319	10	36	159
320	11	36	160
321	11	36	160
322	10	36	159
323	11	37	160
324	10	36	159
325	10	36	159
326	11	37	160
327	11	36	160
328	10	36	159
329	10	36	159
330	11	36	159
331	10	36	159
332	11	36	160
333	11	36	160
334	10	36	159
335	11	37	160
336	10	36	159
337	11	36	159
338	10	36	159
339	11	37	160
340	11	37	160
341	10	36	159
342	11	37	160
343	11	37	160
344	11	37	160
345	10	36	159
346	10	36	159
347	11	37	160
348	10	36	159
349	11	36	159
350	10	36	159
351	10	36	159
352	11	36	159
353	11	36	160
354	10	36	159
355	10	36	159
356	11	37	160
357	10	36	159
358	11	36	159
359	11	34	159
360	11	36	159
361	11	36	159
362	10	36	159
363	10	36	159
364	10	36	159
365	10	36	159
366	10	36	159
367	10	36	159
368	11	36	159
369	11	36	159
370	10	36	159
371	10	36	159
372	11	36	159
373	11	36	160
374	11	36	160
375	10	36	159
376	10	36	159
377	10	36	159
378	11	36	159
379	10	36	159
380	10	36	159
381	11	36	159
382	10	36	159
383	10	36	159
384	10	36	159
385	11	36	159
386	10	36	159
387	11	36	159
388	10	36	159
389	10	36	159
390	10	34	159
391	11	36	159
392	11	36	159
393	11	36	159
394	13	38	163
395	10	36	159
396	11	37	160
397	11	36	159
398	11	37	160
399	11	37	160
400	11	37	160
401	10	36	159
402	11	37	160
403	10	36	159
404	11	36	159
405	10	36	159
406	10	36	159
407	10	36	159
408	11	37	160
409	11	36	159
410	10	36	159
411	10	36	159
412	10	36	159
413	11	36	160
414	10	36	159
415	10	36	159
416	10	36	159
417	10	34	159
418	11	37	160
419	11	36	159
420	10	36	159
421	10	36	159
422	10	36	159
423	11	37	160
424	10	36	159
425	10	36	159
426	10	36	159
427	10	36	159
428	10	36	159
429	10	36	159
430	10	36	159
431	10	36	159
432	11	36	159
433	10	36	159
434	11	36	159
435	10	36	159
436	11	36	159
437	11	36	160
438	10	36	159
439	11	36	160
440	10	36	159
441	10	36	159
442	11	36	160
443	11	36	159
444	10	36	159
445	10	36	159
446	11	36	160
447	11	36	160
448	10	36	159
449	11	36	159
450	11	37	160
451	11	37	160
452	10	36	159
453	10	36	159
454	10	36	159
455	10	36	159
456	11	36	159
457	11	36	160
458	10	36	159
459	10	36	159
460	10	36	159
461	11	37	160
462	10	36	159
463	11	36	159
464	10	36	159
465	10	36	159
466	11	36	159
467	10	36	159
468	11	36	159
469	10	36	159
470	10	34	159
471	11	34	159
472	11	36	159
473	10	36	159
474	11	36	160
475	10	36	159
476	11	36	159
477	11	36	160
478	11	36	159
479	11	36	160
480	11	36	159
481	11	37	160
482	11	36	159
483	11	37	160
484	10	36	159
485	11	36	160
486	11	37	160
487	11	36	159
488	10	36	159
489	10	36	159
490	11	36	159
491	11	37	162
492	10	36	159
493	10	36	159
494	10	36	159
495	11	36	159
496	10	36	159
497	10	34	159
498	11	36	159
499	11	37	160
500	10	36	159
501	11	37	160
502	11	36	159
503	10	36	159
504	10	36	159
505	11	36	159
506	10	36	159
507	10	36	159
508	11	36	159
509	11	36	160
510	10	36	159
511	11	36	159
512	10	36	159
513	11	37	160
514	10	36	159
515	11	36	160
516	10	36	159
517	10	36	159
518	10	36	159
519	10	36	159
520	11	37	160
521	11	34	159
522	11	34	159
523	11	37	160
524	11	36	159
525	10	36	159
526	10	36	159
527	11	36	160
528	10	36	159
529	10	36	159
530	10	36	159
531	10	36	159
532	11	37	160
533	11	37	160
534	10	36	159
535	11	34	159
536	10	36	159
537	10	36	159
538	10	36	159
539	11	36	160
540	11	36	159
541	10	36	159
542	10	36	159
543	11	37	160
544	10	36	159
545	11	34	159
546	10	36	159
547	11	36	159
548	11	36	160
549	11	36	159
550	11	36	160
551	11	36	159
552	11	36	160
553	11	36	159
554	11	37	160
555	11	37	160
556	11	36	160
557	11	36	159
558	11	37	160
559	11	37	160
560	10	36	159
561	10	36	159
562	11	37	160
563	11	37	160
564	11	36	160
565	11	36	159
566	10	36	159
567	11	34	159
568	11	37	160
569	11	34	159
570	10	36	159
571	10	36	159
572	10	36	159
573	11	37	160
574	11	36	159
575	11	34	159
576	10	36	159
577	11	36	159
578	10	36	159
579	11	37	160
580	10	36	159
581	11	36	159
582	11	36	160
583	10	36	159
584	10	36	159
585	10	36	159
586	11	37	160
587	10	36	159
588	10	36	159
589	10	36	159
590	10	36	159
591	11	36	160
592	11	36	159
593	11	36	159
594	10	36	159
595	10	36	159
596	10	36	159
597	11	36	160
598	11	37	160
599	10	36	159
600	10	36	159
601	11	36	159
602	11	37	160
603	11	36	159
604	11	36	159
605	10	36	159
606	11	36	160
607	10	36	159
608	11	36	160
609	11	36	159
610	11	36	159
611	10	34	159
612	10	36	159
613	11	36	159
614	10	36	159
615	11	36	160
616	11	37	160
617	10	36	159
618	11	36	159
619	10	36	159
620	11	36	160
621	10	34	159
622	10	36	159
623	10	36	159
624	10	36	159
625	10	36	159
626	11	36	159
627	11	37	160
628	11	37	160
